DATE, PROCESS, CPU, CPU%, DISC Writes (kB_wr/s), MEM%, TOTAL MEM, FREE MEM, BUFFERS, CACHED
Wed 03 Mar 2021 10:59:58 AM -03, brave, 0.15, 1, 0.00, 0.65, 20334232, 15488900, 289244, 2034040
Wed 03 Mar 2021 11:00:03 AM -03, brave, 0.15, 1, 0.00, 0.65, 20334232, 15488388, 289276, 2034612
Wed 03 Mar 2021 11:00:08 AM -03, brave, 0.15, 1, 0.00, 0.65, 20334232, 15490672, 289364, 2034044
Wed 03 Mar 2021 11:00:13 AM -03, brave, 0.15, 1, 0.00, 0.65, 20334232, 15486828, 289372, 2034008
Wed 03 Mar 2021 11:00:18 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15494760, 289460, 2034008
Wed 03 Mar 2021 11:00:23 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15492260, 289492, 2034068
Wed 03 Mar 2021 11:00:28 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15493640, 289524, 2034012
Wed 03 Mar 2021 11:00:33 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15490836, 289556, 2034008
Wed 03 Mar 2021 11:00:38 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15491372, 289604, 2034080
Wed 03 Mar 2021 11:00:43 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15490796, 289612, 2034024
Wed 03 Mar 2021 11:00:48 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15490764, 289684, 2033944
Wed 03 Mar 2021 11:00:53 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15492096, 289724, 2034016
Wed 03 Mar 2021 11:00:58 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15492680, 289732, 2034016
Wed 03 Mar 2021 11:01:03 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15489600, 289756, 2034596
Wed 03 Mar 2021 11:01:08 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15491992, 289796, 2033960
Wed 03 Mar 2021 11:01:13 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15492364, 289820, 2034032
Wed 03 Mar 2021 11:01:18 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15491000, 289860, 2034012
Wed 03 Mar 2021 11:01:23 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15413980, 289892, 2110220
Wed 03 Mar 2021 11:01:28 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15443324, 289924, 2080632
Wed 03 Mar 2021 11:01:33 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15493336, 289964, 2020072
Wed 03 Mar 2021 11:01:38 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15505188, 289988, 2004232
Wed 03 Mar 2021 11:01:43 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15504536, 290032, 2003244
Wed 03 Mar 2021 11:01:48 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15503796, 290056, 2004312
Wed 03 Mar 2021 11:01:53 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15448164, 290120, 2048072
Wed 03 Mar 2021 11:01:58 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15481264, 290160, 2023148
Wed 03 Mar 2021 11:02:03 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15498512, 290224, 2007424
Wed 03 Mar 2021 11:02:08 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15499400, 290280, 2007084
Wed 03 Mar 2021 11:02:13 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15499984, 290328, 2005908
Wed 03 Mar 2021 11:02:18 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15496524, 290392, 2006988
Wed 03 Mar 2021 11:02:23 AM -03, brave, 0.15, 1, 0.00, 0.64, 20334232, 15500440, 290448, 2005900
